X,A,B,C,D
0,0,0.46875,8.3,25
1,0.3,0.28125,11.6,35
2,0,0.1875,14.6,30
3,0.3,0.1875,16.2,15
4,0.3,0.1875,16.1,0
5,0.3,0.28125,15.8,5
6,0,0.1875,14.9,10
7,0.3,0.375,3.4,5
8,0.3,0.1875,2.9,5
9,0.3,0.28125,2.7,0
10,0,0.375,2.7,0
11,0.3,0.1875,2.7,0
12,0.3,-0.1875,14.5,0
13,0.3,-0.09375,14.7,0
14,0,-0.09375,14.8,0
15,0.3,-0.28125,19.1,55
16,0.3,-0.28125,23.1,40
17,0.3,-0.1875,24.5,15
18,0.3,-0.375,24.6,0
19,0.3,-0.09375,14.1,30
20,0.3,0,16.2,20
21,0.3,0,15.1,10
22,0.3,0,12.5,25
23,0.3,-0.375,20.2,5
24,0.3,-0.375,19.7,5
25,0.3,-0.28125,19.1,5
26,0.3,-0.375,18.7,5
27,31.5,-4.59375,1.4,0
28,30.3,-4.59375,1.5,0
29,30.3,-4.5,1.5,0
30,30.3,-4.59375,1.5,0
31,29.7,-4.5,1.4,0
32,26.1,-4,1.5,0
33,25.2,-3.71875,2,5
34,24.9,-3.8125,3,10
35,21.6,-3.53125,3.8,10
36,16.5,-2.71875,3.7,0
37,11.1,-2.03125,3.1,5
38,5.7,-1.34375,3.6,5
39,4.8,-0.78125,4,5
40,5.1,-0.65625,4.2,0
41,5.7,-0.375,4.2,0
42,6.3,0.28125,4.3,0
43,6.6,0.375,5.2,10
44,7.8,-0.09375,5.6,5
45,8.7,-0.1875,5.6,0
46,9,0,5.6,0
47,9.3,0.1875,5.7,0
48,9.6,0,5.7,0
49,10.2,-0.09375,5.6,0
50,10.8,0,5.6,0
51,11.7,0.09375,5.7,0
52,12,0,5.6,0
53,12,0,5.6,0
54,12.3,0,5.6,0
55,12.6,0,5.6,0
56,12.9,0,5.4,0
57,12.9,0,5.4,0
58,13.2,-0.09375,5.5,0
59,13.2,0,5.3,0
60,3.9,0.09375,4.5,10
61,-0.3,0,4,5
62,0.3,0,4,0
63,0.3,0,4,0
64,0.3,0,4,0
65,0.3,0,3.2,5
66,0.3,0,1.7,15
67,0.3,0,0.3,15
